Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
KOPAR AT NEWTON,"1,370,000",613.55,"2,233",04 Apr 2020,8 MAKEWAY AVENUE #04-09,New Sale,Strata,57,"24,035",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"2,473,000","1,097.93","2,252",04 Apr 2020,8 MAKEWAY AVENUE #07-11,New Sale,Strata,102,"24,245",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,617,000",688.9,"2,347",04 Apr 2020,8 MAKEWAY AVENUE #06-13,New Sale,Strata,64,"25,266",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,486,000",688.9,"2,157",04 Apr 2020,6 MAKEWAY AVENUE #06-08,New Sale,Strata,64,"23,219",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,629,000",688.9,"2,365",04 Apr 2020,8 MAKEWAY AVENUE #07-13,New Sale,Strata,64,"25,453",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,229,000",516.67,"2,379",04 Apr 2020,8 MAKEWAY AVENUE #02-14,New Sale,Strata,48,"25,604",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228607,09,22,Central Region,Novena
JADESCAPE,"2,466,000","1,420.85","1,736",04 Apr 2020,4 SHUNFU ROAD #10-17,New Sale,Strata,132,"18,682",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575743,20,57,Central Region,Bishan
RIVERFRONT RESIDENCES,"689,000",581.26,"1,185",04 Apr 2020,47 HOUGANG AVENUE 7 #17-35,New Sale,Strata,54,"12,759",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533816,19,53,North East Region,Hougang
KOPAR AT NEWTON,"1,474,000",688.9,"2,140",04 Apr 2020,6 MAKEWAY AVENUE #05-08,New Sale,Strata,64,"23,031",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,251,000",516.67,"2,421",04 Apr 2020,8 MAKEWAY AVENUE #01-14,New Sale,Strata,48,"26,063",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,674,000",688.9,"2,430",04 Apr 2020,8 MAKEWAY AVENUE #08-13,New Sale,Strata,64,"26,156",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228607,09,22,Central Region,Novena
PARC ESTA,"1,460,000",925.7,"1,577",04 Apr 2020,904 SIMS AVENUE #05-26,New Sale,Strata,86,"16,977",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408968,14,40,Central Region,Geylang
PARC CANBERRA,"1,375,000","1,184.04","1,161",04 Apr 2020,3 CANBERRA WALK #09-07,New Sale,Strata,110,"12,500",-,Executive Condominium,1,99 yrs from 10/12/2018,Uncompleted,HDB,757064,27,75,North Region,Sembawang
TREASURE AT TAMPINES,"1,183,000",914.94,"1,293",04 Apr 2020,55 TAMPINES LANE #12-194,New Sale,Strata,85,"13,918",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528458,18,52,East Region,Tampines
KOPAR AT NEWTON,"2,338,000","1,054.87","2,216",04 Apr 2020,6 MAKEWAY AVENUE #08-07,New Sale,Strata,98,"23,857",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"2,225,000","1,054.87","2,109",04 Apr 2020,6 MAKEWAY AVENUE #02-07,New Sale,Strata,98,"22,704",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"2,083,000",958,"2,174",04 Apr 2020,6 MAKEWAY AVENUE #06-06,New Sale,Strata,89,"23,404",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,188,000",516.67,"2,299",04 Apr 2020,6 MAKEWAY AVENUE #07-04,New Sale,Strata,48,"24,750",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,474,000",613.55,"2,402",04 Apr 2020,8 MAKEWAY AVENUE #04-12,New Sale,Strata,57,"25,860",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"2,443,000","1,097.93","2,225",04 Apr 2020,8 MAKEWAY AVENUE #05-11,New Sale,Strata,102,"23,951",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,462,000",613.55,"2,383",04 Apr 2020,8 MAKEWAY AVENUE #03-12,New Sale,Strata,57,"25,649",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228607,09,22,Central Region,Novena
